initial date: 2023-01-01
Fecha actual: 2024-04-15
98,0.221,0P000072O8.TO
98,0.179,0P000072OA.TO
89,0.155,0P000072OC.TO
97,0.133,0P000072P1.TO
98,0.217,0P000072P2.TO
91,0.045,0P000072P4.TO
98,0.199,0P000072PH.TO
94,0.293,0P000072PQ.TO
97,0.196,0P000072PR.TO
100,0.251,0P000072PS.TO
96,0.188,0P000072QG.TO
98,0.141,0P000072QL.TO
98,0.218,0P000072QN.TO
99,0.297,0P000072R1.TO
98,0.151,0P000072R6.TO
99,0.304,0P000072R7.TO
98,0.204,0P000072RC.TO
98,0.218,0P000072RX.TO
94,0.175,0P000072SU.TO
53,0.045,0P000072SV.TO
95,0.173,0P000072T3.TO
89,0.261,0P000072UJ.TO
90,0.201,0P000072WY.TO
71,0.027,0P000072XD.TO
99,0.298,0P000072XX.TO
98,0.227,0P000072XZ.TO
99,0.294,0P000072ZH.TO
95,0.124,0P000072ZS.TO
97,0.193,0P00007319.TO
87,0.212,0P0000731A.TO
94,0.138,0P0000731E.TO
97,0.194,0P0000732J.TO
98,0.249,0P0000732P.TO
98,0.284,0P0000735R.TO
68,0.091,0P00007379.TO
90,0.133,0P0000737C.TO
90,0.242,0P0000737Y.TO
100,0.312,0P00007380.TO
78,0.154,0P0000738X.TO
95,0.124,0P000073A7.TO
94,0.138,0P000073AG.TO
95,0.253,0P000073CJ.TO
91,0.094,0P000073CT.TO
94,0.119,0P000073HN.TO
98,0.063,0P000073HW.TO
91,0.096,0P000073HX.TO
89,0.231,0P000073I0.TO
90,0.256,0P000073I3.TO
99,0.092,0P000073I4.TO
98,0.269,0P000073K2.TO
89,0.207,0P000073LW.TO
97,0.236,0P000073MW.TO
87,0.213,0P000073NI.TO
94,0.138,0P000073NN.TO
50,0.023,0P000073QX.TO
97,0.251,0P000073QZ.TO
94,0.119,0P000073R1.TO
90,0.219,0P000073R4.TO
90,0.252,0P000073RE.TO
94,0.148,0P000073RG.TO
94,0.149,0P000073RH.TO
99,0.296,0P000073RK.TO
97,0.219,0P000073RT.TO
97,0.213,0P000073RU.TO
97,0.211,0P000073RW.TO
93,0.152,0P000073RX.TO
92,0.145,0P000073RY.TO
92,0.144,0P000073RZ.TO
96,0.198,0P000073S0.TO
96,0.192,0P000073S1.TO
96,0.186,0P000073S2.TO
98,0.247,0P000073S3.TO
97,0.242,0P000073S4.TO
100,0.308,0P000073SD.TO
98,0.246,0P000073SO.TO
89,0.218,0P000073VE.TO
96,0.143,0P000073WN.TO
98,0.242,0P000073XN.TO
98,0.074,0P0000741L.TO
99,0.159,0P0000747K.TO
92,0.233,0P0000748M.TO
94,0.220,0P000074KK.TO
99,0.245,0P000074NP.TO
89,0.228,0P000074NW.TO
93,0.169,0P000074O9.TO
90,0.141,0P000074OE.TO
96,0.204,0P000074OF.TO
93,0.172,0P000074OP.TO
93,0.164,0P000074OS.TO
100,0.308,0P000074OU.TO
90,0.137,0P000074P3.TO
93,0.164,0P000074P9.TO
91,0.055,0P000074T2.TO
97,0.180,0P000074T4.TO
91,0.059,0P000074T5.TO
98,0.175,0P000074T7.TO
97,0.229,0P000074T9.TO
93,0.160,0P000074TC.TO
98,0.256,0P000074TD.TO
98,0.257,0P000074TV.TO
83,0.124,0P000074TX.TO
40,0.008,0P000074U6.TO
92,0.163,0P000074VA.TO
95,0.203,0P000074WJ.TO
96,0.180,0P0000753A.TO
100,0.257,0P0000753K.TO
99,0.289,0P00007548.TO
98,0.238,0P00007549.TO
99,0.289,0P0000754F.TO
99,0.289,0P0000754M.TO
90,0.244,0P0000755P.TO
97,0.178,0P0000755T.TO
90,0.243,0P0000755U.TO
96,0.208,0P0000755V.TO
96,0.204,0P0000755W.TO
96,0.197,0P0000755X.TO
98,0.282,0P00007560.TO
98,0.253,0P000075YP.TO
95,0.217,0P000075YQ.TO
97,0.189,0P0000761F.TO
97,0.205,0P0000761G.TO
97,0.198,0P0000761H.TO
99,0.304,0P0000761I.TO
99,0.303,0P0000761J.TO
99,0.304,0P0000761K.TO
49,0.014,0P0000761N.TO
98,0.206,0P0000761R.TO
98,0.201,0P0000761S.TO
98,0.192,0P0000761T.TO
96,0.157,0P0000761V.TO
96,0.143,0P0000761W.TO
91,0.108,0P0000761Z.TO
97,0.205,0P00007620.TO
97,0.197,0P00007621.TO
97,0.187,0P00007622.TO
98,0.222,0P00007623.TO
98,0.218,0P00007624.TO
98,0.209,0P00007625.TO
60,0.046,0P00007626.TO
96,0.166,0P0000762A.TO
96,0.186,0P0000762B.TO
99,0.244,0P0000762D.TO
99,0.239,0P0000762E.TO
99,0.226,0P0000762F.TO
99,0.231,0P0000762H.TO
100,0.249,0P0000762I.TO
100,0.245,0P0000762J.TO
94,0.145,0P0000762N.TO
95,0.175,0P0000762R.TO
95,0.171,0P0000762S.TO
94,0.158,0P0000762T.TO
93,0.219,0P0000762X.TO
93,0.204,0P0000762Y.TO
95,0.184,0P00007633.TO
95,0.181,0P00007634.TO
95,0.178,0P00007635.TO
95,0.182,0P00007636.TO
95,0.172,0P00007638.TO
96,0.202,0P00007639.TO
96,0.197,0P0000763A.TO
96,0.187,0P0000763B.TO
97,0.205,0P0000763C.TO
97,0.187,0P0000763D.TO
97,0.197,0P0000763E.TO
99,0.298,0P0000763F.TO
99,0.297,0P0000763G.TO
99,0.299,0P0000763H.TO
97,0.197,0P0000763I.TO
97,0.186,0P0000763J.TO
97,0.207,0P0000763K.TO
99,0.239,0P0000763L.TO
99,0.249,0P0000763M.TO
99,0.244,0P0000763N.TO
99,0.304,0P0000763O.TO
99,0.303,0P0000763P.TO
99,0.304,0P0000763Q.TO
99,0.304,0P0000763R.TO
99,0.303,0P0000763S.TO
99,0.304,0P0000763T.TO
98,0.176,0P0000763U.TO
98,0.171,0P0000763V.TO
98,0.161,0P0000763W.TO
98,0.201,0P0000763X.TO
98,0.196,0P0000763Z.TO
98,0.287,0P00007640.TO
98,0.283,0P00007643.TO
97,0.200,0P00007647.TO
97,0.192,0P00007648.TO
97,0.210,0P0000764C.TO
97,0.186,0P0000764D.TO
97,0.197,0P0000764E.TO
98,0.222,0P0000764F.TO
98,0.218,0P0000764G.TO
